"bearer","total_share"
"7ef5162960f7e6165f3e8c66799d15ddd2eb39880330dba71d4bc0fef699a362","8819"
"a0016cf97de52d9e77b0ee8e27372c3662eec625b03a36e19c9cba154bb3ae9b","5640"
"a00eecb7fc72904ccb4c527b7c99ae4d1d0a69f575672e157e3020f412b86af2","3061"
"a004eb5698aaf2c49ad29918c3faf1a9c43a1dd5ac7ca90962521bae9b03ea75","2905"
"a009c85ddbe1c766b7dd2ab73a4ca4152234040821ccf07fe44c05774675fa3f","1804"
"a0031372b950dda6662090dac75afdd034e5dd3214f829606dde36d3ff27adf3","1745"
"a000691bbf8ee60a680835665b6115b765faa49718477979f51a0f7040cbb2e7","1314"
"a009b95f6be64b37885cbfa815ac94a59e49e1d69b0f54c44bf8d62523d750e5","1167"
"a00210ac4f8ca785e37ffe82eb8de7e681393de644283dc4f23abe8e61749052","801"
"a0068eeda200ca590c52803f4af081e8e452ba856e816469bfafa416574f1296","784"
"a00cc8b7ff8d15af0a07e5a9cdb56477899d9f05163fa14a586603d9bbdeaa83","722"
"a00631b98858819ce1f0c20bfcc43b1774703ce7e0494c75cabd0161bcaa0a8b","654"
"a004d8f0ff8deab9c75b1e07f155a864e1e5dd14dec5381cf974a37d00aac06a","646"
"a00f5e50042404bb8d5dba6d7c4e6ee6bc01b63431b01cd54149ac15a95b3976","595"
"a0061a1e8f042f1cbe1e25bb7093fcfb6f3e1dbe3b2e3bba6d79a1bbfb52214d","577"
"a00098f658afb2ce8125f60eec05d26948ed70b6b64749fa1de3999d45fa47a5","417"
"c680df5bf386a6244478823794c2027d914bb61a8a372decf8ea7e156c2cb4b1","409"
"a0015230b6fba248112f196987887e2cd8a302f5d6e947aaf87d28be8388012e","366"
"a00b83e2edb4408729e574bd9965e7e03b919b18fc45d0710485d0d162c26bc9","359"
"a00194c28a9dc0882709223e88cc1216a81a28bb6524558f563cc877446eb8b1","277"
"a00a13dc64aa2afb2e33d20dc6b17405cecee06bcf439225077edb413b3da768","272"
"a0099288678d582021e0e333e28ac03714f86fcba2008b3fa863d4d4ba0b4ec5","249"
"a0007c61d7c31da67cc93a800955e7104156f29c6fcd8855e9bea6f3d4acce72","231"
"a00113044ae8be9403d4a8cddadb09323fd67ad5ccd178eafb8e3a65afeae0da","229"
"a0004455be13619abc538ab498834e2185a5f991d9e3ac210c4880263d9d0173","224"
"a002a267bbea235a8138be314cb5ed45250005164126837bf8ad07fe828d2ae2","223"
"a00c1be665525cb4215044c8bec3821cc2dfd42d0c62b9c9735b93e8d46f8c0b","219"
"a007f6054574df139ff5fa934e2a0f95cc0e406f4544c4f61d94b3f014c32373","209"
"a002062a2c2b8590e614d729030437b31ec5b46bef5e257446b65153aeb22eeb","209"
"a003755f45a32c2943b1c0aa3fa0016317c1c5d5a23957f487189ab0341fc624","206"
"a00dcee3d64e4daaa34ebfa7b95fba5f095e234d32a4770958e3f8e8818cafe1","202"
"a005450990fa998787613c889ffecc7d855b858633381bf83f8dbf56c398e63e","197"
"a0060c12db8b42e088659bba40391b89b1bdce7b35f2c8b4c4af245c8e3fc064","195"
"a00e6187e4dfd845485e0a0ba9f5e6b7fd55dd95161bbc4c7cfc23164cd7b211","192"
"a00be644bdc14a1949dbcfadac877cbf79399af8dfd091b02aa19111230d2302","187"
"a00b20c4fc3c9c47c38c530aedac99452f4ecf3686a9d1f8e854b7879f8c0fbc","182"
"a0010dff7fbe4dd7457c82736fc47048c5e5c688520f15451209e772a451e148","171"
